holiday_names,day,month,year,country_cd,country,date,national_cd
New Year's Day,1,1,2018,29,Australia,2018-01-01,AU
Australia Day,26,1,2018,29,Australia,2018-01-26,AU
Harmony Day,21,3,2018,29,Australia,2018-03-21,AU
Good Friday,30,3,2018,29,Australia,2018-03-30,AU
Easter Sunday (All),1,4,2018,29,Australia,2018-04-01,AU
Easter Monday,2,4,2018,29,Australia,2018-04-02,AU
ANZAC Day,25,4,2018,29,Australia,2018-04-25,AU
Remembrance Day,11,11,2018,29,Australia,2018-11-11,AU
Christmas Eve,24,12,2018,29,Australia,2018-12-24,AU
Christmas Day,25,12,2018,29,Australia,2018-12-25,AU
Boxing Day,26,12,2018,29,Australia,2018-12-26,AU
New Year's Eve,31,12,2018,29,Australia,2018-12-31,AU
New Year's Day,1,1,2019,29,Australia,2019-01-01,AU
Australia Day,26,1,2019,29,Australia,2019-01-26,AU
Harmony Day,21,3,2019,29,Australia,2019-03-21,AU
Good Friday,19,4,2019,29,Australia,2019-04-19,AU
Easter Sunday (All),21,4,2019,29,Australia,2019-04-21,AU
Easter Monday,22,4,2019,29,Australia,2019-04-22,AU
ANZAC Day,25,4,2019,29,Australia,2019-04-25,AU
Remembrance Day,11,11,2019,29,Australia,2019-11-11,AU
Christmas Eve,24,12,2019,29,Australia,2019-12-24,AU
Christmas Day,25,12,2019,29,Australia,2019-12-25,AU
Boxing Day,26,12,2019,29,Australia,2019-12-26,AU
New Year's Eve,31,12,2019,29,Australia,2019-12-31,AU
New Year's Day,1,1,2020,29,Australia,2020-01-01,AU
Australia Day,26,1,2020,29,Australia,2020-01-26,AU
Harmony Day,21,3,2020,29,Australia,2020-03-21,AU
Good Friday,10,4,2020,29,Australia,2020-04-10,AU
Easter Sunday (All),12,4,2020,29,Australia,2020-04-12,AU
Easter Monday,13,4,2020,29,Australia,2020-04-13,AU
ANZAC Day,25,4,2020,29,Australia,2020-04-25,AU
Remembrance Day,11,11,2020,29,Australia,2020-11-11,AU
Christmas Eve,24,12,2020,29,Australia,2020-12-24,AU
Christmas Day,25,12,2020,29,Australia,2020-12-25,AU
Boxing Day,26,12,2020,29,Australia,2020-12-26,AU
New Year's Eve,31,12,2020,29,Australia,2020-12-31,AU
New Year's Day,1,1,2021,29,Australia,2021-01-01,AU
Australia Day,26,1,2021,29,Australia,2021-01-26,AU
Harmony Day,21,3,2021,29,Australia,2021-03-21,AU
Good Friday,2,4,2021,29,Australia,2021-04-02,AU
Easter Sunday (All),4,4,2021,29,Australia,2021-04-04,AU
Easter Monday,5,4,2021,29,Australia,2021-04-05,AU
ANZAC Day,25,4,2021,29,Australia,2021-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2021,29,Australia,2021-10-15,AU
Remembrance Day,11,11,2021,29,Australia,2021-11-11,AU
Christmas Eve,24,12,2021,29,Australia,2021-12-24,AU
Christmas Day,25,12,2021,29,Australia,2021-12-25,AU
Boxing Day,26,12,2021,29,Australia,2021-12-26,AU
New Year's Eve,31,12,2021,29,Australia,2021-12-31,AU
New Year's Day,1,1,2022,29,Australia,2022-01-01,AU
Australia Day,26,1,2022,29,Australia,2022-01-26,AU
Harmony Day,21,3,2022,29,Australia,2022-03-21,AU
Good Friday,15,4,2022,29,Australia,2022-04-15,AU
Easter Sunday (All),17,4,2022,29,Australia,2022-04-17,AU
Easter Monday,18,4,2022,29,Australia,2022-04-18,AU
ANZAC Day,25,4,2022,29,Australia,2022-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2022,29,Australia,2022-10-15,AU
Remembrance Day,11,11,2022,29,Australia,2022-11-11,AU
Christmas Eve,24,12,2022,29,Australia,2022-12-24,AU
Christmas Day,25,12,2022,29,Australia,2022-12-25,AU
Boxing Day,26,12,2022,29,Australia,2022-12-26,AU
New Year's Eve,31,12,2022,29,Australia,2022-12-31,AU
New Year's Day,1,1,2023,29,Australia,2023-01-01,AU
Australia Day,26,1,2023,29,Australia,2023-01-26,AU
Harmony Day,21,3,2023,29,Australia,2023-03-21,AU
Good Friday,7,4,2023,29,Australia,2023-04-07,AU
Easter Sunday (All),9,4,2023,29,Australia,2023-04-09,AU
Easter Monday,10,4,2023,29,Australia,2023-04-10,AU
ANZAC Day,25,4,2023,29,Australia,2023-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2023,29,Australia,2023-10-15,AU
Remembrance Day,11,11,2023,29,Australia,2023-11-11,AU
Christmas Eve,24,12,2023,29,Australia,2023-12-24,AU
Christmas Day,25,12,2023,29,Australia,2023-12-25,AU
Boxing Day,26,12,2023,29,Australia,2023-12-26,AU
New Year's Eve,31,12,2023,29,Australia,2023-12-31,AU
New Year's Day,1,1,2024,29,Australia,2024-01-01,AU
Australia Day,26,1,2024,29,Australia,2024-01-26,AU
Harmony Day,21,3,2024,29,Australia,2024-03-21,AU
Good Friday,29,3,2024,29,Australia,2024-03-29,AU
Easter Sunday (All),31,3,2024,29,Australia,2024-03-31,AU
Easter Monday,1,4,2024,29,Australia,2024-04-01,AU
ANZAC Day,25,4,2024,29,Australia,2024-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2024,29,Australia,2024-10-15,AU
Remembrance Day,11,11,2024,29,Australia,2024-11-11,AU
Christmas Eve,24,12,2024,29,Australia,2024-12-24,AU
Christmas Day,25,12,2024,29,Australia,2024-12-25,AU
Boxing Day,26,12,2024,29,Australia,2024-12-26,AU
